TournamentName,Game,PrizePool,Year,Location,Players
Valorant Masters Copenhagen 2022,Valorant,500000,2022,Copenhagen,12
Street Fighter V EVO 2019,Street Fighter V,50000,2019,Las Vegas,256
CS:GO Major Championship (Krakow 2017),Counter-Strike: Global Offensive,500000,2017,Krakow,16
Dota 2 Boston Major 2016,Dota 2,3000000,2016,Boston,16
FIFA eWorld Cup 2019,FIFA 23,500000,2019,Milan,32
Teamfight Tactics Fates Championship 2021,Teamfight Tactics,200000,2021,Online,16
Rocket League Championship Series Season 6 World Championship,Rocket League,300000,2018,Las Vegas,12
Hearthstone Global Games 2018,Hearthstone,300000,2018,Anaheim,32
Overwatch League Season 2 Grand Finals,Overwatch,1100000,2019,Philadelphia,8
CS:GO Major Championship (Faceit London 2018),Counter-Strike: Global Offensive,500000,2018,London,24
2020 Mid-Season Invitational League of Legends,League of Legends,400000,2020,Shanghai,10
Dota 2 WePlay AniMajor 2021,Dota 2,500000,2021,Online,18
Rainbow Six Siege Six Major Raleigh 2019,Rainbow Six Siege,300000,2019,Raleigh,16
CS:GO BLAST Pro Series Finals 2019,Counter-Strike: Global Offensive,250000,2019,Lisbon,12
Valorant Masters Stage 1 Reykjavik 2021,Valorant,600000,2021,Reykjavik,12
FIFA eWorld Cup 2022,FIFA 23,250000,2022,Online,32
Smite World Championship 2020,Smite,1000000,2020,Atlanta,20
Apex Legends Global Series Y2 Pro League Playoffs,Apex Legends,500000,2022,Online,40
Overwatch League 2019 Season Grand Finals,Overwatch,1100000,2019,Philadelphia,8
Dota 2 ESL One Hamburg 2017,Dota 2,300000,2017,Hamburg,8
